Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Kalium,Tiamin,Zink,Varav enkelomättat fett,Varav fleromättat fett,Järn,Magnesium,Folsyra,Fosfor,Vitamin C,Vitamin E,Natrium,Kalcium,Niacin,url
Japansk soya 440ml ICA Asia,"42,90 kr","0.44L 97,50 kr/l",130 kcal,550 kJ,0.5 g,0 g,23 g,7.5 g,7 g,16.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/japansk-soya-440ml-ica-asia/1506396
Bearnaisesås 3-p 6dl Blå Band,"20,90 kr","0.6L 34,83 kr/l",216 kcal,902 kJ,22 g,14 g,5 g,0.8 g,0.6 g,0.83 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bearnaises%C3%A5s-3-p-6dl-bl%C3%A5-band/1446815
Basmatiris 1kg ICA Asia,"53,00 kr","1kg 53,00 kr/kg",350 kcal,1500 kJ,0.5 g,0 g,78 g,0 g,8.2 g,0 g,1.6 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/basmatiris-1kg-ica-asia/1331022
Grönsaksbuljong 12-p 6l Knorr,"25,90 kr","6L 4,32 kr/l drickklar",337 kcal,1411 kJ,26 g,18 g,21 g,5.6 g,4.7 g,42.8 g,1.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6nsaksbuljong-12-p-6l-knorr/1508817
Ketchup 570g Heinz,"36,90 kr","0.57kg 64,74 kr/kg",102 kcal,435 kJ,0.1 g,0.1 g,23.2 g,22.8 g,1.2 g,,,,,,,,,,,,,,1.8 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/ketchup-570g-heinz/1372044
Taco Kryddmix Original Mild 28g Santa Maria,"14,90 kr","0.028kg 532,14 kr/kg",297 kcal,1251 kJ,6 g,0.75 g,44 g,20 g,10 g,15.8 g,12 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/taco-kryddmix-original-mild-28g-santa-maria/1497383
Taco sauce Mild 230g Santa Maria,"19,90 kr","0.23kg 86,52 kr/kg",34 kcal,143 kJ,0 g,0 g,6 g,4.3 g,1.4 g,1.1 g,1.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/taco-sauce-mild-230g-santa-maria/1519331
Bryggkaffe Blue Java 450g Zoegas,"104,00 kr","0.45kg 231,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-blue-java-450g-zoegas/2151444
Ketchup Original 1kg Felix,"47,90 kr","1kg 47,90 kr/kg",81 kcal,339 kJ,0 g,0 g,18 g,17 g,1.2 g,2.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ketchup-original-1kg-felix/1469376
Taco Kryddmix Original Mild 28g 3-p Santa Maria,"39,90 kr","0.084kg 475,00 kr/kg",297 kcal,1250 kJ,6.1 g,0.8 g,45 g,20 g,10 g,15.7 g,10 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/taco-kryddmix-original-mild-28g-3-p-santa-maria/1497384
Tomatpuré 200g ICA,"21,90 kr","0.2kg 109,50 kr/kg",90 kcal,383 kJ,0.4 g,0 g,16 g,16 g,4.5 g,0.13 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tomatpur%C3%A9-200g-ica/1026245
Chiafrön 300g Risenta,"77,00 kr","0.3kg 256,67 kr/kg",439 kcal,1827 kJ,34 g,3.4 g,4.4 g,0 g,22 g,0.13 g,33 g,,,,2.5 g,27 g,7.7 mg,335 mg,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chiafr%C3%B6n-300g-risenta/2093005
Champinjoner Skivade 400g ICA Basic,"18,90 kr","0.23kg 82,17 kr/kg u. spad",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/champinjoner-skivade-400g-ica-basic/1410848
