Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Tuggummi Sockerfri Strong Teeth Spearmint 30g V6,"24,90 kr","0.03kg 830,00 kr/kg",162 kcal,676 kJ,0.3 g,0.2 g,64 g,0.1 g,0.4 g,0.06 g,,64 g,,,,,,,,,,,10 mg,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-sockerfri-strong-teeth-spearmint-30g-v6/2150706
Glass Daim Strawberry 825ml GB Glace,"47,90 kr","0.825L 58,06 kr/l",239 kcal,999 kJ,11 g,8.1 g,32 g,27 g,2.6 g,0.23 g,0.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-daim-strawberry-825ml-gb-glace/2154425
Tuggummi Original Sockerfri 30g Stimorol,"22,90 kr","0.03kg 763,33 kr/kg",170 kcal,707 kJ,0.3 g,0.1 g,65 g,0.5 g,0.8 g,0.1 g,,63 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-original-sockerfri-30g-stimorol/1363557
Tuggummi Sockerfri Infinity Strawberry/Lime 30g Stimorol,"22,90 kr","0.03kg 763,33 kr/kg",188 kcal,783 kJ,1.7 g,1.1 g,68 g,0.1 g,1.3 g,0.02 g,0 g,68 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-sockerfri-infinity-strawberry-lime-30g-stimorol/2150713
Godispåse Filidutter Hallon 65g Konfekta,"13,90 kr","0.065kg 213,85 kr/kg",390 kcal,1620 kJ,0 g,0 g,93.6 g,73.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-filidutter-hallon-65g-konfekta/2018446
Chips Sourcream & Onion liten påse 40g OLW,"13,90 kr","0.04kg 347,50 kr/kg",540 kcal,2200 kJ,32 g,3.3 g,56 g,2.8 g,4.9 g,1.6 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-sourcream-onion-liten-p%C3%A5se-40g-olw/1001444
Chips Ranch & Sourcream 275g Estrella,"40,90 kr","0.275kg 148,73 kr/kg",520 kcal,2164 kJ,33 g,2.7 g,46 g,2.9 g,5.9 g,1.6 g,5.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-ranch-sourcream-275g-estrella/1512439
Godispåse Tutti Frutti Hallon 90g Fazer,"16,90 kr","0.09kg 187,78 kr/kg",356 kcal,1498 kJ,0.5 g,0 g,88 g,59 g,0.5 g,0.32 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-tutti-frutti-hallon-90g-fazer/2159039
Glass Magnum Classic 110ml Magnum,"33,90 kr",,305 kcal,1272 kJ,18 g,13 g,30 g,27 g,3.3 g,0.13 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-magnum-classic-110ml-magnum/2130094
Godis Nappar Skum Sur 120g Haribo,"24,90 kr","0.12kg 207,50 kr/kg",359 kcal,1526 kJ,0.5 g,0.1 g,86 g,64 g,3.6 g,0.01 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-nappar-skum-sur-120g-haribo/2075711
Västkustchips Gräddfil & Lök 180g Estrella,"35,90 kr","0.18kg 199,44 kr/kg",470 kcal,1962 kJ,25 g,2.2 g,52 g,2.8 g,6.5 g,1.3 g,6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4stkustchips-gr%C3%A4ddfil-l%C3%B6k-180g-estrella/1431508
Chips Grill 275g Estrella,"40,90 kr","0.275kg 148,73 kr/kg",517 kcal,2152 kJ,33 g,2.6 g,46 g,0.8 g,5.5 g,1.7 g,5.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-grill-275g-estrella/1512392
Mörk Choklad Kitkat 4-finger da 41.5g Nestle,"14,90 kr","0.0415kg 359,04 kr/kg",501 kcal,2096 kJ,25.7 g,14.2 g,58.6 g,44.8 g,5.6 g,0.04 g,5.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%B6rk-choklad-kitkat-4-finger-da-41-5g-nestle/2128031
Chips Lagrad ost & Havssalt 275g Estrella,"40,90 kr","0.275kg 148,73 kr/kg",518 kcal,2156 kJ,33 g,2.8 g,47 g,2.9 g,5.8 g,1.5 g,5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-lagrad-ost-havssalt-275g-estrella/2104976
Chips Hot & Spicy 165g Pringles,"43,90 kr","0.165kg 266,06 kr/kg",519 kcal,2169 kJ,29 g,6.3 g,55 g,3 g,6.3 g,1.2 g,3.7 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-hot-spicy-165g-pringles/2139370
Zoo 20g,"8,90 kr","0.02kg 445,00 kr/kg",359 kcal,1526 kJ,0.4 g,0.4 g,82 g,66 g,5.8 g,0.02 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/zoo-20g/1004566
Godispåse Colaflaskor 95g Malaco,"16,90 kr","0.095kg 177,89 kr/kg",359 kcal,1526 kJ,0.2 g,0.1 g,89 g,66 g,0.1 g,0.11 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-colaflaskor-95g-malaco/2127772
Russin Soltorkade 250g Krav Saltå Kvarn,"51,00 kr","0.25kg 204,00 kr/kg",340 kcal,1430 kJ,0.7 g,0.3 g,74 g,70 g,3.2 g,0.02 g,4.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/russin-soltorkade-250g-krav-salt%C3%A5-kvarn/2010811
Glass Almond 1-p Magnum,"33,90 kr",,327 kcal,1363 kJ,20 g,13 g,31 g,26 g,4.6 g,0.11 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-almond-1-p-magnum/2130091
Cashewnötter naturell 100g ICA I love eco,"39,90 kr","0.1kg 399,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cashewn%C3%B6tter-naturell-100g-ica-i-love-eco/2040448
Chokladkaka Oreo 37g Marabou,"17,90 kr","0.037kg 483,78 kr/kg",548 kcal,2286 kJ,33 g,19 g,56 g,49 g,5.6 g,0.52 g,1.6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-oreo-37g-marabou/2000544
Chokladkaka Mjölkchoklad 160g Marabou,"38,90 kr","0.16kg 243,13 kr/kg",544 kcal,2273 kJ,32 g,19 g,59 g,58 g,4.4 g,0.26 g,1.9 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-mj%C3%B6lkchoklad-160g-marabou/2166168
Vingummin Black Edition 175g Treatville,"22,90 kr","0.175kg 130,86 kr/kg",334 kcal,1420 kJ,0.5 g,0.3 g,79 g,49 g,4.3 g,0.03 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vingummin-black-edition-175g-treatville/2065038
Nötmix med oliv 200g ICA,"47,90 kr","0.2kg 239,50 kr/kg",628 kcal,2601 kJ,52 g,7.4 g,14 g,5.2 g,22 g,0.5 g,6.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tmix-med-oliv-200g-ica/2165534
Lakrits Salt Hallon 120g Nordiskt Lakritskök,"29,90 kr","0.12kg 249,17 kr/kg",290 kcal,1250 kJ,0.5 g,0.5 g,68 g,48 g,3.9 g,1.2 g,1.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lakrits-salt-hallon-120g-nordiskt-lakritsk%C3%B6k/2151256
Goody Banan Toffee 90g Bubs Godis,"15,90 kr","0.09kg 176,67 kr/kg",350 kcal,1464 kJ,0.2 g,0.2 g,86 g,59 g,0.4 g,0.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/goody-banan-toffee-90g-bubs-godis/2062743
Müslibar BIG Brownie 50g Corny,"14,90 kr","0.05kg 298,00 kr/kg",424 kcal,1782 kJ,14 g,9.3 g,65 g,34 g,6.2 g,0.41 g,3.9 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%BCslibar-big-brownie-50g-corny/2061845
Cheezdoodles 225g OLW,"42,90 kr","0.225kg 190,67 kr/kg",520 kcal,2200 kJ,30 g,14 g,53 g,2.5 g,10 g,2.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheezdoodles-225g-olw/1485144
Tyrkisk Peber Hot & sour 150g Fazer,"27,90 kr","0.15kg 186,00 kr/kg",381 kcal,1606 kJ,0.5 g,0 g,94 g,75 g,0.5 g,0.67 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tyrkisk-peber-hot-sour-150g-fazer/1477753
Sportlunch Dubbel 50g Cloetta,"15,90 kr","0.05kg 318,00 kr/kg",532 kcal,2232 kJ,30 g,18 g,59 g,53 g,6.3 g,0.34 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sportlunch-dubbel-50g-cloetta/1363643
Glass Smultron 1.75ml Triumf Glass,"39,00 kr","1.75L 22,29 kr/l",190 kcal,800 kJ,9.3 g,6.1 g,24 g,24 g,2.9 g,0.18 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-smultron-1-75ml-triumf-glass/2154442
Snickersglass 6-p Mars,"69,00 kr","6 per frp 11,50 kr/st",341 kcal,1425 kJ,20 g,9.4 g,34 g,25 g,5.9 g,0.24 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snickersglass-6-p-mars/2094361
Salt lakrits Sockerfri 100g De Bron,"37,90 kr","0.1kg 379,00 kr/kg",192 kcal,793 kJ,0.2 g,0.2 g,50.4 g,0.2 g,1.3 g,0.2 g,31.4 g,47.3 g,,,,,,,,,,,,,0 g,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salt-lakrits-sockerfri-100g-de-bron/1431843
Gräddglass Cookies & Cream 500ml Triumf Glass,"24,90 kr","0.5L 49,80 kr/l",240 kcal,1000 kJ,13 g,7 g,26 g,23 g,3.1 g,0.18 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-cookies-cream-500ml-triumf-glass/2086185
Strössel Choco 120g Dr.Oetker,"28,90 kr","0.12kg 240,83 kr/kg",385 kcal,1635 kJ,0.9 g,0.5 g,91 g,90 g,2 g,0.18 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/str%C3%B6ssel-choco-120g-dr-oetker/1466756
Frystorkad Jordgubb vit choklad 125g Exotic Snacks,"58,00 kr","0.17kg 341,18 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/frystorkad-jordgubb-vit-choklad-125g-exotic-snacks/2164024
Gåvoask Chokladpraliner 250g Treatville,"98,00 kr","0.25kg 392,00 kr/kg",524 kcal,2187 kJ,30 g,17 g,56 g,53 g,6.2 g,0.17 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/g%C3%A5voask-chokladpraliner-250g-treatville/2161830
Dippmix Cheez original 23g OLW,"13,90 kr","0.023kg 604,35 kr/kg",329 kcal,1377 kJ,7.1 g,4.2 g,57 g,23 g,8.5 g,17 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dippmix-cheez-original-23g-olw/2165278
Potatischips Parmesan 150g Gårdschips,"33,90 kr","0.15kg 226,00 kr/kg",500 kcal,2093 kJ,29.7 g,2 g,47.3 g,2.9 g,8.6 g,1.3 g,5.9 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatischips-parmesan-150g-g%C3%A5rdschips/1499890
Tuggummi sockerfri Dental Dual Action Spearmint 30g V6,"24,90 kr","0.03kg 830,00 kr/kg",175 kcal,729 kJ,0.3 g,0.1 g,68 g,0.1 g,1.2 g,0.03 g,,68 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-sockerfri-dental-dual-action-spearmint-30g-v6/2150721
Minimarshmallows 150g Treatville,"26,90 kr","0.15kg 179,33 kr/kg",322 kcal,1367 kJ,0.5 g,0 g,76 g,62 g,4.6 g,0.02 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/minimarshmallows-150g-treatville/2044069
Gräddglass Vanilj 500ml SIA Glass,"24,90 kr","0.5L 49,80 kr/l",210 kcal,850 kJ,10 g,6.8 g,23 g,22 g,3.8 g,0.1 g,0.5 g,0.5 g,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-vanilj-500ml-sia-glass/1008723
Glass Vanilj Jordgubb 500ml GB Gräddglass,"18,90 kr","0.5L 37,80 kr/l",186 kcal,777 kJ,5.5 g,3.7 g,31 g,26 g,2.2 g,0.09 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-vanilj-jordgubb-500ml-gb-gr%C3%A4ddglass/2067312
Nappar Fruit 80g Haribo,"13,90 kr","0.08kg 173,75 kr/kg",343 kcal,1459 kJ,0.5 g,0.1 g,77 g,46 g,6.9 g,0.07 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/nappar-fruit-80g-haribo/1368315
Godis Strawberry Liquorice 50g Pändy,"26,90 kr","0.05kg 538,00 kr/kg",75 kcal,309 kJ,0 g,0 g,7.5 g,0.6 g,4 g,0.12 g,25 g,6 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-strawberry-liquorice-50g-p%C3%A4ndy/2112893
Chokladkaka Mörk Almond sea salt 180g Tony's Chocolonely,"67,00 kr","0.18kg 372,22 kr/kg",539 kcal,2252 kJ,35 g,18 g,44 g,42 g,7.4 g,0.51 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-m%C3%B6rk-almond-sea-salt-180g-tony-s-chocolonely/2096159
Cashewnötter Rostade & saltade 400g Exotic Snacks,"110,00 kr","0.4kg 275,00 kr/kg",590 kcal,2500 kJ,49 g,9 g,19 g,5 g,18 g,1.5 g,6 g,,,,,,,5 mg,,4.7 mg,28 g,9 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cashewn%C3%B6tter-rostade-saltade-400g-exotic-snacks/1394607
Dumle Snacks Original 160g Fazer,"43,90 kr","0.16kg 274,38 kr/kg",480 kcal,2008 kJ,22 g,14 g,64 g,50 g,5.8 g,0.49 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dumle-snacks-original-160g-fazer/2117798
Torkad Mango 100g DAVE & JON'S,"32,90 kr","0.1kg 329,00 kr/kg",339 kcal,1418 kJ,0.18 g,0.17 g,82.2 g,68 g,2 g,0 g,3.7 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torkad-mango-100g-dave-jon-s/2149663
Mjölkchoklad med Oreo 185g Marabou,"47,90 kr","0.185kg 258,92 kr/kg",535 kcal,2237 kJ,30 g,17 g,60 g,55 g,4.5 g,0.32 g,2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mj%C3%B6lkchoklad-med-oreo-185g-marabou/2126991
Chokladkaka Vit choklad 180g Marabou,"47,90 kr","0.18kg 266,11 kr/kg",540 kcal,2257 kJ,30 g,18 g,64 g,64 g,4.1 g,0.25 g,0.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-vit-choklad-180g-marabou/2159038
Wasabinötter 200g Exotic Snacks,"32,90 kr","0.2kg 164,50 kr/kg",458 kcal,1921 kJ,19 g,6.2 g,60 g,23 g,10 g,1 g,2.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wasabin%C3%B6tter-200g-exotic-snacks/2161211
Chips Lättsaltade liten påse 40g OLW,"13,90 kr","0.04kg 347,50 kr/kg",520 kcal,2200 kJ,32 g,3.5 g,58 g,0.8 g,5 g,1.3 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-l%C3%A4ttsaltade-liten-p%C3%A5se-40g-olw/1001446
Godispåse Jordgubbsdrömmar 75g Fini,"14,90 kr","0.075kg 198,67 kr/kg",326 kcal,1387 kJ,0 g,0 g,79 g,58 g,4 g,0.1 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-jordgubbsdr%C3%B6mmar-75g-fini/2151277
Glass Sunny Honey 465 ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",258 kcal,1082 kJ,14 g,9.7 g,28 g,22 g,4 g,0.21 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-sunny-honey-465-ml-ben-jerrys/2115952
Pingvinstång Mint 27g Toms,"7,90 kr","0.027kg 292,59 kr/kg",377 kcal,1577 kJ,3.3 g,3.1 g,84 g,66 g,1.2 g,0.26 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pingvinst%C3%A5ng-mint-27g-toms/1128781
Chokladkaka Premium Filled french nougat 130g Marabou,"59,00 kr","0.13kg 453,85 kr/kg",508 kcal,2121 kJ,27 g,9.6 g,56 g,46 g,7.3 g,0.19 g,5.8 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-premium-filled-french-nougat-130g-marabou/1413186
Halstabletter Original 25g Fisherman's Friend,"20,90 kr","0.025kg 836,00 kr/kg",383 kcal,1628 kJ,0.5 g,0.5 g,95 g,88 g,0.5 g,0.25 g,0.49 g,0.5 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-original-25g-fisherman-s-friend/1001919
Popcorn Micropop Salt 3-p 240g OLW,"30,90 kr","0.24kg 128,75 kr/kg",450 kcal,1850 kJ,17 g,6.3 g,60 g,0.7 g,8.8 g,2.3 g,10 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/popcorn-micropop-salt-3-p-240g-olw/2043617
Bar Karamell Mandel & havssalt 40g BE-KIND,"26,90 kr","0.04kg 672,50 kr/kg",500 kcal,2093 kJ,39 g,7 g,39 g,13 g,14 g,0.78 g,18 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bar-karamell-mandel-havssalt-40g-be-kind/2043628
Chokladask Finest selection Blå 250g Merci,"94,00 kr","0.25kg 376,00 kr/kg",579 kcal,2412 kJ,37.8 g,20.4 g,50.1 g,48.3 g,8.1 g,0.21 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladask-finest-selection-bl%C3%A5-250g-merci/1311691
Chokladkaka Salty toffee crunch 145g Fazer,"42,90 kr","0.145kg 295,86 kr/kg",514 kcal,2150 kJ,29 g,17 g,52 g,49 g,9.4 g,0.72 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-salty-toffee-crunch-145g-fazer/2033650
Godis Fruktilurer Frukt & Bär 80g Haribo,"13,90 kr","0.08kg 173,75 kr/kg",355 kcal,1510 kJ,0.5 g,0.1 g,87 g,56 g,0.5 g,0.02 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-fruktilurer-frukt-b%C3%A4r-80g-haribo/2100256
Choklad Polly Röd 200g Cloetta,"40,90 kr","0.2kg 204,50 kr/kg",467 kcal,1959 kJ,18 g,10 g,71 g,68 g,4.6 g,0.12 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-polly-r%C3%B6d-200g-cloetta/1403798
Tuggummi Sockerfri White Peppermint 30.8g V6,"24,90 kr","0.0308kg 808,44 kr/kg",166 kcal,692 kJ,0.7 g,0.6 g,65 g,0.1 g,0.1 g,0.21 g,,65 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-sockerfri-white-peppermint-30-8g-v6/2150709
Halstablett Blue Extra Strong 72g Vicks,"27,90 kr","0.072kg 387,50 kr/kg",388 kcal,1649 kJ,0 g,0 g,97 g,73 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstablett-blue-extra-strong-72g-vicks/1528030
Tuggummi Vattenmelon 29g Extra,"22,90 kr","0.029kg 789,66 kr/kg",167 kcal,696 kJ,0 g,0 g,68 g,0 g,0 g,0 g,,68 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-vattenmelon-29g-extra/2128788
Chokladkaka Smash 150g Olw,"39,90 kr","0.15kg 266,00 kr/kg",550 kcal,2310 kJ,34 g,19 g,52 g,45 g,7.8 g,0.56 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-smash-150g-olw/2127693
Gräddglass Pecannötkola 500ml SIA Glass,"24,90 kr","0.5L 49,80 kr/l",220 kcal,900 kJ,11 g,6.2 g,27 g,24 g,3.7 g,0.1 g,0.5 g,,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-pecann%C3%B6tkola-500ml-sia-glass/1424154
Maränger 120g ICA,"28,90 kr","0.12kg 240,83 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mar%C3%A4nger-120g-ica/1346026
LantChips Grill Räfflade 200g LantChips,"30,90 kr","0.2kg 154,50 kr/kg",486 kcal,2033 kJ,27 g,2.5 g,56.6 g,1.1 g,8.1 g,1.4 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lantchips-grill-r%C3%A4fflade-200g-lantchips/2138837
"Gräddglass Blåbär Laktosfri 0,5l Triumf Glass","24,90 kr","0.5L 49,80 kr/l",200 kcal,800 kJ,9.5 g,6.2 g,24 g,24 g,4 g,0.11 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-bl%C3%A5b%C3%A4r-laktosfri-0-5l-triumf-glass/1470285
Potatischips Lättsaltade 275g Estrella,"40,90 kr","0.275kg 148,73 kr/kg",513 kcal,2138 kJ,32 g,2.6 g,47 g,0.5 g,5.8 g,1.3 g,5.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatischips-l%C3%A4ttsaltade-275g-estrella/1512430
Choklad Co-Co Dubbel 60g Marabou,"17,90 kr","0.06kg 298,33 kr/kg",520 kcal,2160 kJ,30 g,23 g,53.5 g,48 g,5.8 g,0.15 g,5.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-co-co-dubbel-60g-marabou/1005080
"Chokladkaka Lakrits, Hallon & Caramel 160g Marabou","38,90 kr","0.16kg 243,13 kr/kg",523 kcal,2187 kJ,28 g,16 g,63 g,62 g,3.9 g,0.25 g,1.7 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-lakrits-hallon-caramel-160g-marabou/2166162
Potatissnacks Rostade Creamy Garlic 75g OLW,"27,90 kr","0.075kg 372,00 kr/kg",440 kcal,1850 kJ,12 g,1 g,73 g,3.6 g,8.1 g,1.8 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatissnacks-rostade-creamy-garlic-75g-olw/2104965
Chokladkaka Geisha 121g Fazer,"42,90 kr","0.121kg 354,55 kr/kg",550 kcal,2302 kJ,35 g,17 g,51 g,49 g,8 g,0.19 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-geisha-121g-fazer/2033649
Chokladkaka Schweizernöt 160g Marabou,"38,90 kr","0.16kg 243,13 kr/kg",564 kcal,2351 kJ,36 g,17 g,51 g,50 g,6 g,0.22 g,3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-schweizern%C3%B6t-160g-marabou/2166164
Nappar Cola 80g Haribo,"13,90 kr","0.08kg 173,75 kr/kg",343 kcal,1459 kJ,0.5 g,0.1 g,77 g,46 g,6.9 g,0.07 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/nappar-cola-80g-haribo/1368321
Salta Pinnar Pretzels 250g ICA Basic,"19,90 kr","0.25kg 79,60 kr/kg",384 kcal,1628 kJ,3.6 g,0.5 g,75 g,1.8 g,12 g,3.6 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salta-pinnar-pretzels-250g-ica-basic/2145215
Kryptoniter Sur & salt 60g Konfekta,"13,90 kr","0.06kg 231,67 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kryptoniter-sur-salt-60g-konfekta/1354933
Halstabletter Citrus Sockerfri 25g Fisherman's Friend,"20,90 kr","0.025kg 836,00 kr/kg",251 kcal,1047 kJ,1.2 g,1.1 g,96 g,0.5 g,0.5 g,0.01 g,0.07 g,91 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-citrus-sockerfri-25g-fisherman-s-friend/1294047
Salta pinnar 250g OLW,"31,90 kr","0.25kg 127,60 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salta-pinnar-250g-olw/1001390
Chokladkaka Schweizernöt 90g Marabou,"28,90 kr","0.09kg 321,11 kr/kg",568 kcal,2367 kJ,37 g,17 g,51 g,50 g,6.2 g,0.22 g,3.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-schweizern%C3%B6t-90g-marabou/2166182
Godis Easter Drageé 180g Fazer,"36,90 kr","0.18kg 205,00 kr/kg",414 kcal,1732 kJ,5.2 g,3.2 g,88 g,83 g,2.1 g,0.08 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-easter-drage%C3%A9-180g-fazer/2075412
