Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Chips Sour Cream & Onion 165g Pringles,"43,90 kr","0.165kg 266,06 kr/kg",525 kcal,2191 kJ,30 g,6.4 g,56 g,2.7 g,6 g,1.3 g,3.4 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-sour-cream-onion-165g-pringles/2125907
Chilinötter Heta 150g ICA,"30,90 kr","0.15kg 206,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chilin%C3%B6tter-heta-150g-ica/1405593
Dippmix Ranch 24g OLW,"13,90 kr","0.024kg 579,17 kr/kg",340 kcal,1450 kJ,6.1 g,3.7 g,61 g,40 g,8.9 g,15.3 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dippmix-ranch-24g-olw/1519730
Glass Sweet Mango Memories 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",255 kcal,1071 kJ,15 g,10 g,26 g,24 g,3.6 g,0.14 g,0.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-sweet-mango-memories-465ml-ben-jerrys/2153943
Tuggummi Sockerfri AIR RUSH Menthol/Spearmint 30g Stimorol,"22,90 kr","0.03kg 763,33 kr/kg",154 kcal,642 kJ,0.2 g,0.1 g,61 g,0.1 g,0.4 g,0.04 g,,61 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-sockerfri-air-rush-menthol-spearmint-30g-stimorol/2150712
Potatischips Brynt smör & rödlök 150g Gårdschips,"33,90 kr","0.15kg 226,00 kr/kg",503 kcal,2104 kJ,30 g,2.2 g,47.2 g,2.3 g,8.3 g,1.2 g,6.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatischips-brynt-sm%C3%B6r-r%C3%B6dl%C3%B6k-150g-g%C3%A5rdschips/2090761
Chokladask Aladdin 410g Marabou,"159,00 kr","0.41kg 387,80 kr/kg",524 kcal,2187 kJ,30 g,16 g,58 g,54 g,4 g,0.25 g,3.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladask-aladdin-410g-marabou/2166135
Dippmix Fresh island 24g OLW,"13,90 kr","0.024kg 579,17 kr/kg",300 kcal,1250 kJ,1.3 g,0.3 g,57 g,24 g,11 g,17.6 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dippmix-fresh-island-24g-olw/1519731
Ostcrunch Cheddar Sour cream & Onion 200g Estrella,"41,90 kr","0.2kg 209,50 kr/kg",477 kcal,1991 kJ,28 g,4.8 g,45 g,2.5 g,9.9 g,1.8 g,2.4 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ostcrunch-cheddar-sour-cream-onion-200g-estrella/2138822
Pim Pim 20g,"8,90 kr","0.02kg 445,00 kr/kg",359 kcal,1525 kJ,0.3 g,0.2 g,80 g,65 g,6.8 g,0.06 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pim-pim-20g/1004567
Chokladpåse Never Stop Crunchy Corn 110g Marabou,"47,90 kr","0.11kg 435,45 kr/kg",523 kcal,2186 kJ,29 g,15 g,57 g,56 g,7.7 g,0.55 g,3.2 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladp%C3%A5se-never-stop-crunchy-corn-110g-marabou/2159035
Japansk mix 200g Exotic Snacks,"49,90 kr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/japansk-mix-200g-exotic-snacks/2090318
Godispåse Fizzypop 85g Malaco,"16,90 kr","0.085kg 198,82 kr/kg",336 kcal,1427 kJ,0.5 g,0.5 g,77 g,65 g,4.6 g,1.05 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godisp%C3%A5se-fizzypop-85g-malaco/2127774
Halstabletter Extra starka Original 80g Karamellpojkarna,"16,90 kr","0.08kg 211,25 kr/kg",388 kcal,1649 kJ,0 g,0 g,97 g,97 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/halstabletter-extra-starka-original-80g-karamellpojkarna/1377142
Spröda ringar Sourcream & onion 85g OLW,"25,90 kr","0.085kg 304,71 kr/kg",520 kcal,2200 kJ,27 g,3 g,61 g,6.2 g,7.9 g,1.9 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spr%C3%B6da-ringar-sourcream-onion-85g-olw/2126259
Cashewnötter Naturella 400g Exotic Snacks,"109,00 kr","0.4kg 272,50 kr/kg",590 kcal,2500 kJ,46 g,8 g,22 g,5 g,18 g,0.04 g,6 g,,,,,,,5 mg,,4.7 mg,28 g,9 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cashewn%C3%B6tter-naturella-400g-exotic-snacks/1394606
Gräddglass Vanilj utan tillsatt socker 750ml SIA Glass,"49,90 kr","0.75L 66,53 kr/l",190 kcal,800 kJ,12 g,7.8 g,14 g,6 g,3.8 g,0.1 g,8.9 g,,,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-vanilj-utan-tillsatt-socker-750ml-sia-glass/2086115
