Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Varav polyoler,Vitamin B12,Vitamin D,Folsyra,Selen,Vitamin A,Natrium,Kalcium,Järn,Material,Varav fleromättat fett,Varav enkelomättat fett,Vitamin C,Riboflavin,url
Big pack Tresmak 2l GB Glace,"38,90 kr","2L 19,45 kr/l",179 kcal,749 kJ,6.2 g,5.6 g,30 g,20 g,,0.6 g,0.11 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/big-pack-tresmak-2l-gb-glace/2094199
Bärmix Fryst 1kg ICA Basic,"66,00 kr","1kg 66,00 kr/kg",35 kcal,146 kJ,0.5 g,0 g,5.6 g,4.8 g,3.5 g,0.9 g,0 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/b%C3%A4rmix-fryst-1kg-ica-basic/1411058
Pizza Pockets Tre Ostar 2-p 250g Findus,"39,90 kr","0.25kg 159,60 kr/kg",260 kcal,1092 kJ,9.1 g,4 g,35 g,3.2 g,2.9 g,11 g,0.89 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-pockets-tre-ostar-2-p-250g-findus/2144455
Crispy kycklingburgare Fryst 440g Max,"76,00 kr","0.44kg 172,73 kr/kg",200 kcal,800 kJ,9.4 g,1.2 g,14 g,1.2 g,1.6 g,13 g,1.8 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/crispy-kycklingburgare-fryst-440g-max/1475813
Fish & Crisp Gourmetfiléer 480g Findus,"75,00 kr","0.48kg 156,25 kr/kg",216 kcal,905 kJ,11 g,0.8 g,17 g,0.5 g,0.6 g,12 g,0.73 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fish-crisp-gourmetfil%C3%A9er-480g-findus/2130356
Potatisklyftor med skal Fryst 800g ICA,"32,90 kr","0.8kg 41,13 kr/kg",120 kcal,500 kJ,2.3 g,0.5 g,23 g,0.5 g,2.6 g,2.2 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatisklyftor-med-skal-fryst-800g-ica/1365757
Nötköttbulle Fryst Ekologisk 400g KRAV Scan,"62,00 kr","0.4kg 155,00 kr/kg",220 kcal,950 kJ,15 g,7.5 g,10 g,1.7 g,,12 g,1.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tk%C3%B6ttbulle-fryst-ekologisk-400g-krav-scan/2033538
Paj Veggie Mozzarella Körsbärstomat 210g Felix,"40,90 kr","0.21kg 194,76 kr/kg",273 kcal,1144 kJ,18 g,9.8 g,19 g,2.2 g,1.3 g,8 g,0.75 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/paj-veggie-mozzarella-k%C3%B6rsb%C3%A4rstomat-210g-felix/2025275
Köttbullar Delikatess Frysta 450g ICA,"56,00 kr","0.45kg 124,44 kr/kg",250 kcal,1050 kJ,18 g,7 g,9 g,1.8 g,,12 g,1.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-delikatess-frysta-450g-ica/2021330
Somun Bröd Fryst 400g Plivit,"21,90 kr","0.4kg 54,75 kr/kg",237 kcal,994 kJ,1.9 g,0.19 g,50.16 g,0.88 g,2.11 g,6.28 g,1.08 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/somun-br%C3%B6d-fryst-400g-plivit/1333596
Glass Nougat 500ml GB Gräddglass,"18,90 kr","0.5L 37,80 kr/l",124 kcal,519 kJ,6.1 g,2.3 g,15 g,13 g,,1.6 g,0.06 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-nougat-500ml-gb-gr%C3%A4ddglass/2067299
Stenugnsbakad pizza Kebab Fryst 380g ICA,"41,90 kr","0.38kg 110,26 kr/kg",204 kcal,857 kJ,6.8 g,2.6 g,26 g,4.4 g,2.3 g,8.9 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stenugnsbakad-pizza-kebab-fryst-380g-ica/1238175
Pizza Vesuvio 500g Tony´s pizza,"72,00 kr","0.5kg 144,00 kr/kg",231 kcal,970 kJ,9 g,4.7 g,27 g,1.1 g,2 g,9.5 g,2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-vesuvio-500g-tony-s-pizza/2142934
Rustica 4 sorters ost 555g Dr.Oetker,"74,00 kr","0.555kg 133,33 kr/kg",249 kcal,1045 kJ,9.2 g,5.9 g,28 g,2.9 g,,12 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rustica-4-sorters-ost-555g-dr-oetker/1509702
Skaldjurssoppa 350g Felix,"36,90 kr","0.35kg 105,43 kr/kg",59 kcal,246 kJ,3.2 g,2 g,5.2 g,1.6 g,,1.7 g,0.8 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skaldjurssoppa-350g-felix/1487590
Plommonjärpar 420g Dafgård,"51,00 kr","0.42kg 121,43 kr/kg",130 kcal,543 kJ,7.6 g,3.3 g,10 g,1.8 g,1.4 g,4.4 g,0.87 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plommonj%C3%A4rpar-420g-dafg%C3%A5rd/2101431
Vitlök finhackad fryst 45g ICA,"15,90 kr","0.045kg 353,33 kr/kg",154 kcal,644 kJ,4.5 g,0.6 g,21 g,1.2 g,5.1 g,5 g,0.02 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vitl%C3%B6k-finhackad-fryst-45g-ica/2138904
